iter	MultiClass
0	1.031964123
1	0.9704403137
2	0.9168845724
3	0.865014581
4	0.8191763431
5	0.7782395988
6	0.7372438682
7	0.7029191166
8	0.6744112734
9	0.6493837276
10	0.6205943003
11	0.6022853985
12	0.5810693709
13	0.5556558082
14	0.5324341187
15	0.5115599383
16	0.4917694301
17	0.4719446371
18	0.4543309134
19	0.442100056
20	0.4252245661
21	0.4092243575
22	0.3984262319
23	0.3847030789
24	0.3723868287
25	0.359993283
26	0.3503552246
27	0.3397644351
28	0.3300859158
29	0.3196111505
30	0.3101448973
31	0.3014436894
32	0.293703046
33	0.2893092898
34	0.2824857022
35	0.2755889651
36	0.2704904791
37	0.2657658204
38	0.2605391367
39	0.2536096297
40	0.2497022339
41	0.2431651648
42	0.2384236354
43	0.2337749699
44	0.2294378109
45	0.2238100638
46	0.2184471639
47	0.2140607093
48	0.2100021795
49	0.2055238733
50	0.2016567028
51	0.1987069538
52	0.1947956225
53	0.1908678465
54	0.1880559696
55	0.1858852323
56	0.1835446865
57	0.1815480132
58	0.1789955288
59	0.1757398428
60	0.1735376325
61	0.1714464009
62	0.1693993574
63	0.1674890658
64	0.1647564107
65	0.1634079346
66	0.161158172
67	0.1583452572
68	0.1571383282
69	0.1558622712
70	0.1546554424
71	0.1532367032
72	0.1512799834
73	0.1502221373
74	0.1479280014
75	0.146693775
76	0.1458670345
77	0.1445695034
78	0.1432928588
79	0.1423956263
80	0.1411044148
81	0.1404287859
82	0.139375697
83	0.1377946706
84	0.1370843327
85	0.1360895681
86	0.134846326
87	0.1342735992
88	0.1338114736
89	0.1329548611
90	0.1321445746
91	0.1314662777
92	0.1311725489
93	0.1302228031
94	0.1292884349
95	0.1284235905
96	0.1276548825
97	0.1264489008
98	0.1257228274
99	0.1244235193
100	0.1234914357
101	0.122402006
102	0.1216772241
103	0.12049628
104	0.1195037146
105	0.1181550154
106	0.117420716
107	0.1167776209
108	0.1162696035
109	0.1155537262
110	0.1152323968
111	0.1150499921
112	0.1148287208
113	0.1141993597
114	0.1137489719
115	0.1131892505
116	0.1128949747
117	0.112354849
118	0.1116279094
119	0.1108377663
120	0.1103346318
121	0.1093112508
122	0.1085137872
123	0.1083084814
124	0.1078381571
125	0.1069626113
126	0.1061809324
127	0.1058177016
128	0.1053907492
129	0.1044272842
130	0.1040858644
131	0.1036890783
132	0.1031647632
133	0.1024594128
134	0.1020778084
135	0.1012969026
136	0.1009271679
137	0.1007139547
138	0.1003185693
139	0.09989581035
140	0.09957078035
141	0.09934546628
142	0.09872744838
143	0.09836807164
144	0.09768435898
145	0.09729597611
146	0.09709176144
147	0.09681182068
148	0.0965318488
149	0.09597710249
150	0.09570993337
151	0.09495258179
152	0.09474377025
153	0.09442678379
154	0.09422311602
155	0.09407258301
156	0.09391865435
157	0.09367069399
158	0.09349253096
159	0.09284172381
160	0.09257453706
161	0.09236078883
162	0.09222700257
163	0.09208812136
164	0.09195674205
165	0.09170127809
166	0.09148385565
167	0.09131817459
168	0.09064150939
169	0.09054278758
170	0.09035412703
171	0.08978102236
172	0.08924422705
173	0.08907822005
174	0.08881770854
175	0.0886839562
176	0.08814329032
177	0.08781703915
178	0.08760785253
179	0.08732025439
180	0.0871701662
181	0.08703907634
182	0.08681334084
183	0.0867011103
184	0.08655614152
185	0.08637402181
186	0.08581536415
187	0.08566147884
188	0.08542864533
189	0.08495299232
190	0.08482866849
191	0.08460496077
192	0.08443594146
193	0.08422873598
194	0.0839846866
195	0.08382581823
196	0.08359463749
197	0.0830847517
198	0.08297362052
199	0.08286561161
200	0.08237830665
201	0.08215051131
202	0.08192800297
203	0.08158073035
204	0.0814400024
205	0.0813553618
206	0.08114613692
207	0.08095300587
208	0.08071702634
209	0.08029752512
210	0.07986177177
211	0.07978250385
212	0.07945595344
213	0.07925942008
214	0.07912139168
215	0.07902069236
216	0.07883481619
217	0.07841656059
218	0.078203964
219	0.07810660338
220	0.0780246301
221	0.07780835075
222	0.07744610138
223	0.0773401684
224	0.07700597815
225	0.07691617105
226	0.07684868757
227	0.07676900087
228	0.0765934333
229	0.07649413291
230	0.07634846386
231	0.07614465547
232	0.07595771984
233	0.07588328791
234	0.07560916763
235	0.07554536781
236	0.07534310922
237	0.07514890761
238	0.07496026498
239	0.0748579504
240	0.07468462845
241	0.07431622704
242	0.07428383367
243	0.07379844645
244	0.07373895343
245	0.07352693461
246	0.0731720467
247	0.07299899827
248	0.07290144919
249	0.07273201635
250	0.07257290396
251	0.07231513648
252	0.07216578178
253	0.07206403358
254	0.07194620646
255	0.07176286462
256	0.07151946665
257	0.07145640767
258	0.07131833507
259	0.0712352229
260	0.07106602556
261	0.07094758689
262	0.07078209585
263	0.07072206302
264	0.07062540433
265	0.07054408451
266	0.07043660113
267	0.07029161923
268	0.07006240304
269	0.06984086927
270	0.06966862528
271	0.0696123216
272	0.0695390584
273	0.06943993889
274	0.06933708756
275	0.06923451949
